 2023-03-27 (09-44-34)_
Voltage	Current
V	A
0.0000E+0	-2.8452E-6
1.0000E-2	-2.8414E-6
2.0000E-2	-2.8349E-6
3.0000E-2	-2.8320E-6
4.0000E-2	-2.8338E-6
5.0000E-2	-2.8260E-6
6.0000E-2	-2.8344E-6
7.0000E-2	-2.8262E-6
8.0000E-2	-2.8277E-6
9.0000E-2	-2.8286E-6
1.0000E-1	-2.8351E-6
1.1000E-1	-2.8371E-6
1.2000E-1	-2.8194E-6
1.3000E-1	-2.8204E-6
1.4000E-1	-2.8283E-6
1.5000E-1	-2.8275E-6
1.6000E-1	-2.8232E-6
1.7000E-1	-2.8133E-6
1.8000E-1	-2.8034E-6
1.9000E-1	-2.8075E-6
2.0000E-1	-2.8129E-6
2.1000E-1	-2.8093E-6
2.2000E-1	-2.8035E-6
2.3000E-1	-2.8040E-6
2.4000E-1	-2.8015E-6
2.5000E-1	-2.8023E-6
2.6000E-1	-2.7949E-6
2.7000E-1	-2.7968E-6
2.8000E-1	-2.7920E-6
2.9000E-1	-2.7914E-6
3.0000E-1	-2.7893E-6
3.1000E-1	-2.7880E-6
3.2000E-1	-2.7795E-6
3.3000E-1	-2.7699E-6
3.4000E-1	-2.7687E-6
3.5000E-1	-2.7617E-6
3.6000E-1	-2.7610E-6
3.7000E-1	-2.7655E-6
3.8000E-1	-2.7703E-6
3.9000E-1	-2.7486E-6
4.0000E-1	-2.7542E-6
4.1000E-1	-2.7421E-6
4.2000E-1	-2.7423E-6
4.3000E-1	-2.7498E-6
4.4000E-1	-2.7341E-6
4.5000E-1	-2.7348E-6
4.6000E-1	-2.7270E-6
4.7000E-1	-2.7335E-6
4.8000E-1	-2.7274E-6
4.9000E-1	-2.7046E-6
5.0000E-1	-2.7062E-6
5.1000E-1	-2.7031E-6
5.2000E-1	-2.6974E-6
5.3000E-1	-2.6762E-6
5.4000E-1	-2.6702E-6
5.5000E-1	-2.6719E-6
5.6000E-1	-2.6409E-6
5.7000E-1	-2.6339E-6
5.8000E-1	-2.6025E-6
5.9000E-1	-2.5883E-6
6.0000E-1	-2.5569E-6
6.1000E-1	-2.5252E-6
6.2000E-1	-2.4875E-6
6.3000E-1	-2.4299E-6
6.4000E-1	-2.3822E-6
6.5000E-1	-2.3189E-6
6.6000E-1	-2.2400E-6
6.7000E-1	-2.1372E-6
6.8000E-1	-2.0199E-6
6.9000E-1	-1.8623E-6
7.0000E-1	-1.7040E-6
7.1000E-1	-1.4813E-6
7.2000E-1	-1.2239E-6
7.3000E-1	-9.0946E-7
7.4000E-1	-5.2780E-7
7.5000E-1	-3.6040E-8
7.6000E-1	5.3209E-7
7.7000E-1	1.2165E-6
7.8000E-1	2.0895E-6
7.9000E-1	3.1194E-6
8.0000E-1	4.3874E-6
8.1000E-1	5.9359E-6
